epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.7492,2.61754,4.09407,1.7933,0.00213,0.33333,0.27013,0.15057,1.38783,3.36616,1.0357,0.00010003,0.00010003,0.00010003
2,11.0008,1.05503,2.65591,0.9785,0.00222,0.33333,0.33167,0.1961,1.14151,3.31603,1.07931,0.000212228,0.000212228,0.000212228
3,14.4531,1.04498,1.61403,0.95235,0.00321,0.3697,0.33219,0.24223,1.12893,3.09946,0.96213,0.000322162,0.000322162,0.000322162
4,17.5262,0.96636,1.26956,0.96434,0.00561,0.46667,0.33393,0.26351,1.17084,2.9466,0.98072,0.000429833,0.000429833,0.000429833
5,20.7586,0.92741,1.14933,0.9271,0.00711,0.53333,0.33528,0.23425,1.17969,2.80167,0.90261,0.000535241,0.000535241,0.000535241
6,23.6281,0.95751,1.10184,0.93058,0.0088,0.61212,0.34236,0.2438,1.21555,2.72385,0.91509,0.000638384,0.000638384,0.000638384
7,27.607,0.8808,1.02205,0.90353,0.00857,0.60606,0.34999,0.28735,0.89314,2.65006,0.87294,0.000739265,0.000739265,0.000739265
8,31.2671,0.8615,1.01734,0.90749,0.0088,0.62424,0.47993,0.39288,0.90988,2.51813,0.86013,0.000837881,0.000837881,0.000837881
9,33.8343,0.87111,0.96049,0.90024,0.00866,0.62424,0.57162,0.43598,0.86853,2.42363,0.87374,0.000934234,0.000934234,0.000934234
10,36.4456,0.89409,0.95601,0.91365,0.97762,0.33333,0.57582,0.41479,0.98853,1.93668,0.88634,0.00102832,0.00102832,0.00102832
11,39.7671,0.86306,0.95432,0.90167,0.98947,0.33333,0.65297,0.42632,1.10072,1.69012,0.87699,0.00112015,0.00112015,0.00112015
12,43.2101,0.83353,0.91662,0.88417,0.98946,0.3589,0.65435,0.48454,0.95026,1.65295,0.85962,0.00120971,0.00120971,0.00120971
13,46.0561,0.82122,0.87518,0.88795,0.98925,0.48204,0.69285,0.50202,0.8776,1.40051,0.86795,0.00125923,0.00125923,0.00125923
14,48.7945,0.83926,0.89334,0.88476,0.98882,0.51945,0.71254,0.50633,0.9704,1.22941,0.88338,0.00124509,0.00124509,0.00124509
15,51.8536,0.84142,0.84621,0.89575,0.94726,0.56727,0.77933,0.52317,0.82849,1.06149,0.86914,0.00123094,0.00123094,0.00123094
16,55.3253,0.77904,0.81661,0.88129,0.81474,0.66948,0.80097,0.51935,0.96185,0.88158,0.89023,0.00121679,0.00121679,0.00121679
17,58.1114,0.7404,0.7875,0.87729,0.90761,0.65914,0.81171,0.58525,0.73146,1.00045,0.84786,0.00120265,0.00120265,0.00120265
18,60.8108,0.7329,0.75993,0.86593,0.87789,0.75053,0.83607,0.53199,0.97715,0.8243,0.85949,0.0011885,0.0011885,0.0011885
19,63.9816,0.74048,0.75424,0.89011,0.86899,0.7194,0.7793,0.54565,0.76464,0.72803,0.84808,0.00117435,0.00117435,0.00117435
20,66.8093,0.72684,0.73222,0.86377,0.87975,0.73872,0.77372,0.51809,0.90671,0.80783,0.84612,0.00116021,0.00116021,0.00116021
21,69.6405,0.70567,0.7064,0.86023,0.921,0.76189,0.83223,0.53114,0.92873,0.70387,0.86827,0.00114606,0.00114606,0.00114606
22,72.4334,0.72466,0.71607,0.86353,0.92401,0.76712,0.82588,0.59016,0.75702,0.67539,0.84232,0.00113191,0.00113191,0.00113191
23,75.3429,0.69836,0.69503,0.87782,0.93998,0.78125,0.84947,0.59022,0.78735,0.5759,0.85082,0.00111776,0.00111776,0.00111776
24,78.1425,0.78418,0.74862,0.88361,0.93314,0.78159,0.83095,0.57949,0.71784,0.56917,0.85239,0.00110362,0.00110362,0.00110362
25,81.2819,0.76837,0.7382,0.87749,0.85467,0.76164,0.79427,0.56991,0.7505,0.67903,0.83896,0.00108947,0.00108947,0.00108947
26,84.654,0.75031,0.72623,0.87671,0.92824,0.7948,0.84957,0.59184,0.73758,0.59742,0.87135,0.00107532,0.00107532,0.00107532
27,88.1134,0.70667,0.69279,0.87497,0.9139,0.76242,0.8157,0.56768,0.78953,0.58298,0.86154,0.00106118,0.00106118,0.00106118
28,91.1632,0.75971,0.69727,0.87375,0.89053,0.74768,0.771,0.56597,0.6978,0.54142,0.88765,0.00104703,0.00104703,0.00104703
29,93.8656,0.72385,0.67773,0.86104,0.93634,0.77842,0.81436,0.57071,0.76492,0.61473,0.85807,0.00103288,0.00103288,0.00103288
30,97.072,0.69865,0.65362,0.8674,0.90141,0.78182,0.8356,0.5771,0.7936,0.65371,0.86069,0.00101873,0.00101873,0.00101873
31,103.659,0.67237,0.63954,0.85831,0.9538,0.77576,0.83193,0.59533,0.7467,0.58889,0.86132,0.00100459,0.00100459,0.00100459
32,111.479,0.70808,0.65928,0.87405,0.95499,0.76902,0.83044,0.56015,0.74364,0.60442,0.8553,0.00099044,0.00099044,0.00099044
33,119.297,0.68361,0.63102,0.85935,0.921,0.7873,0.83642,0.60499,0.66294,0.53081,0.84772,0.000976293,0.000976293,0.000976293
34,127.181,0.64188,0.61077,0.85542,0.93532,0.79202,0.83398,0.57547,0.71701,0.51297,0.85694,0.000962146,0.000962146,0.000962146
35,134.766,0.63241,0.59948,0.86281,0.94144,0.79515,0.82812,0.61729,0.65491,0.50177,0.83415,0.000947999,0.000947999,0.000947999
36,142.873,0.63036,0.58194,0.86319,0.90226,0.79515,0.82924,0.60385,0.66829,0.48958,0.83005,0.000933851,0.000933851,0.000933851
