epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.73445,2.10036,3.60639,1.54009,0.00209,0.33333,0.0953,0.07224,0.93917,3.2327,0.94677,7.145e-05,7.145e-05,7.145e-05
2,7.36371,1.01947,2.96269,1.02997,0.00233,0.33333,0.33167,0.29582,0.86853,3.12022,0.82628,0.000155634,0.000155634,0.000155634
3,8.9647,0.91882,2.06901,0.93007,0.00276,0.34222,0.33176,0.28435,0.83031,3.09001,0.84298,0.00023812,0.00023812,0.00023812
4,10.5043,0.88279,1.52081,0.9308,0.00259,0.33333,0.33167,0.29282,0.82824,3.02242,0.81349,0.000318909,0.000318909,0.000318909
5,12.0154,0.8258,1.27093,0.95066,0.00269,0.33333,0.33167,0.27362,0.8996,2.95461,0.82276,0.000397999,0.000397999,0.000397999
6,13.5234,0.80122,1.13183,0.93802,0.00346,0.36889,0.33204,0.28253,0.93626,2.90632,0.85693,0.000475393,0.000475393,0.000475393
7,15.0389,0.76853,1.02411,0.90845,0.00465,0.42667,0.19929,0.10254,1.06768,2.95315,0.90528,0.000551088,0.000551088,0.000551088
8,16.5392,0.75706,0.97075,0.91966,0.00672,0.53778,0.33484,0.29932,0.8215,2.748,0.78092,0.000625086,0.000625086,0.000625086
9,18.0902,0.7691,0.95344,0.90013,0.99351,0.33333,0.33492,0.28995,0.92403,2.51864,0.87069,0.000697386,0.000697386,0.000697386
10,19.6082,0.73369,0.94512,0.90845,0.99733,0.33333,0.33616,0.27183,0.99938,2.48648,0.99665,0.000767989,0.000767989,0.000767989
11,21.1034,0.71739,0.90522,0.89591,0.99904,0.33333,0.34093,0.27809,0.97745,2.27633,0.94045,0.000836894,0.000836894,0.000836894
12,22.5929,0.73724,0.86555,0.91169,0.99731,0.33333,0.42988,0.29394,1.16623,2.19311,1.02947,0.000904101,0.000904101,0.000904101
13,24.1089,0.74495,0.88858,0.90433,0.9963,0.33333,0.44478,0.3429,1.03387,2.23797,0.98429,0.000969611,0.000969611,0.000969611
14,25.5939,0.71943,0.84818,0.88246,1,0.31371,0.50423,0.36653,1.03264,2.24506,0.81799,0.00103342,0.00103342,0.00103342
15,27.053,0.72072,0.84944,0.88662,0.99396,0.33333,0.53093,0.38617,1.03971,1.97022,0.8253,0.00109554,0.00109554,0.00109554
16,28.5566,0.68936,0.80178,0.88407,0.99291,0.33333,0.54934,0.4024,0.97697,1.56345,0.90024,0.00115595,0.00115595,0.00115595
17,30.0367,0.69775,0.78997,0.88206,0.99319,0.39379,0.55778,0.42934,0.92857,1.43313,0.83976,0.00120265,0.00120265,0.00120265
18,31.541,0.67949,0.77273,0.88093,0.98041,0.44892,0.61337,0.44693,0.94194,1.25667,0.7817,0.0011885,0.0011885,0.0011885
19,32.997,0.70197,0.78498,0.88637,0.97227,0.45333,0.61118,0.44151,0.90189,1.24521,0.78082,0.00117435,0.00117435,0.00117435
20,34.4771,0.69233,0.79454,0.86769,0.66638,0.53456,0.61901,0.45199,0.93787,1.16625,0.8035,0.00116021,0.00116021,0.00116021
21,35.9381,0.67913,0.76395,0.87087,0.79765,0.57848,0.62107,0.45942,0.8544,1.02074,0.77134,0.00114606,0.00114606,0.00114606
22,37.4261,0.67097,0.73823,0.86063,0.74539,0.58083,0.65548,0.48131,0.72849,0.79074,0.73283,0.00113191,0.00113191,0.00113191
23,38.9033,0.65383,0.73911,0.87814,0.80554,0.59803,0.67509,0.48024,0.74185,0.77686,0.73893,0.00111776,0.00111776,0.00111776
24,40.4358,0.62321,0.71315,0.87121,0.76738,0.59826,0.64853,0.49365,0.74485,0.76678,0.76692,0.00110362,0.00110362,0.00110362
25,41.91,0.65676,0.71751,0.86433,0.72978,0.60815,0.65186,0.49839,0.6989,0.77227,0.72736,0.00108947,0.00108947,0.00108947
26,43.4023,0.6562,0.71757,0.85698,0.79266,0.63587,0.69762,0.48497,0.83184,0.69095,0.77331,0.00107532,0.00107532,0.00107532
27,44.8833,0.69722,0.69033,0.87758,0.83999,0.6327,0.71832,0.49364,0.74771,0.66289,0.78228,0.00106118,0.00106118,0.00106118
28,46.3891,0.64739,0.68108,0.87741,0.88039,0.65665,0.75066,0.50695,0.64626,0.66496,0.7256,0.00104703,0.00104703,0.00104703
29,47.8584,0.62141,0.66882,0.87377,0.8481,0.62986,0.68056,0.4808,0.76548,0.6942,0.75315,0.00103288,0.00103288,0.00103288
30,49.3319,0.61156,0.63734,0.85934,0.87077,0.63584,0.70485,0.52012,0.63851,0.6094,0.73475,0.00101873,0.00101873,0.00101873
31,50.8354,0.63175,0.66252,0.87271,0.85899,0.62601,0.68833,0.49949,0.70456,0.64462,0.76812,0.00100459,0.00100459,0.00100459
32,52.3334,0.61956,0.64308,0.85462,0.79066,0.66694,0.69217,0.50744,0.70136,0.59738,0.75661,0.00099044,0.00099044,0.00099044
33,53.8041,0.59751,0.63827,0.86859,0.78335,0.66106,0.67931,0.49586,0.70141,0.57528,0.75917,0.000976293,0.000976293,0.000976293
34,55.3202,0.6052,0.629,0.8668,0.85488,0.67,0.72048,0.50012,0.69959,0.56304,0.74446,0.000962146,0.000962146,0.000962146
35,56.7871,0.58426,0.6026,0.85999,0.94037,0.65624,0.73713,0.50969,0.67157,0.56435,0.73627,0.000947999,0.000947999,0.000947999
36,58.2656,0.5996,0.62414,0.87665,0.9443,0.65315,0.72792,0.52039,0.6826,0.59595,0.74472,0.000933851,0.000933851,0.000933851
37,59.7266,0.59215,0.58664,0.8561,0.84991,0.67153,0.72523,0.50738,0.77666,0.61569,0.77266,0.000919704,0.000919704,0.000919704
38,61.2346,0.57653,0.58954,0.85542,0.82077,0.71611,0.74043,0.54048,0.64452,0.54122,0.74157,0.000905557,0.000905557,0.000905557
39,62.7152,0.55119,0.5745,0.86181,0.87285,0.68792,0.74122,0.53778,0.6256,0.51042,0.72154,0.00089141,0.00089141,0.00089141
40,64.1922,0.5583,0.56894,0.86177,0.93852,0.70751,0.77072,0.53999,0.59076,0.48001,0.71269,0.000877263,0.000877263,0.000877263
41,65.7006,0.5496,0.55037,0.86694,0.92208,0.71892,0.78067,0.54179,0.59953,0.4762,0.70921,0.000863116,0.000863116,0.000863116
42,67.2117,0.5774,0.55819,0.85999,0.89151,0.67597,0.73736,0.54025,0.59942,0.45749,0.71754,0.000848969,0.000848969,0.000848969
43,68.6952,0.53991,0.54394,0.87248,0.92275,0.68868,0.74052,0.54488,0.5867,0.48151,0.71679,0.000834822,0.000834822,0.000834822
44,70.1762,0.57762,0.54241,0.85095,0.831,0.6948,0.72643,0.53814,0.59901,0.49719,0.71863,0.000820675,0.000820675,0.000820675
45,71.6712,0.51662,0.54312,0.84897,0.87743,0.7215,0.77018,0.54277,0.60956,0.47614,0.71578,0.000806528,0.000806528,0.000806528
46,73.1619,0.52211,0.5328,0.86222,0.87303,0.74431,0.7772,0.53614,0.63667,0.46384,0.7181,0.00079238,0.00079238,0.00079238
47,74.6267,0.54637,0.5283,0.85535,0.84732,0.73959,0.75115,0.5345,0.63768,0.47045,0.71915,0.000778233,0.000778233,0.000778233
48,76.1027,0.54658,0.53693,0.8474,0.873,0.7101,0.75573,0.53837,0.62934,0.50459,0.72094,0.000764086,0.000764086,0.000764086
49,77.6114,0.53804,0.53305,0.85397,0.8624,0.7141,0.74715,0.52046,0.68378,0.54078,0.72524,0.000749939,0.000749939,0.000749939
50,79.1294,0.53919,0.51469,0.85108,0.81096,0.71306,0.76361,0.54196,0.63501,0.52104,0.72022,0.000735792,0.000735792,0.000735792
51,80.5888,0.53475,0.52371,0.84225,0.79132,0.70934,0.74778,0.51398,0.75901,0.56503,0.73308,0.000721645,0.000721645,0.000721645
52,82.0773,0.52466,0.50898,0.84257,0.84922,0.71063,0.75876,0.53366,0.61224,0.48583,0.71502,0.000707498,0.000707498,0.000707498
53,83.553,0.49593,0.49671,0.83745,0.822,0.71401,0.75407,0.54544,0.60965,0.45353,0.71855,0.000693351,0.000693351,0.000693351
54,85.0541,0.49965,0.49437,0.84784,0.84687,0.75663,0.79118,0.5404,0.70319,0.50554,0.74677,0.000679204,0.000679204,0.000679204
55,86.521,0.50717,0.50367,0.84747,0.84315,0.74578,0.78392,0.54321,0.72184,0.5252,0.75438,0.000665057,0.000665057,0.000665057
56,88.0589,0.54743,0.51021,0.865,0.86178,0.76145,0.78642,0.55152,0.64135,0.49104,0.74291,0.000650909,0.000650909,0.000650909
57,89.5898,0.51815,0.50921,0.83842,0.84063,0.76424,0.77406,0.55088,0.58089,0.4637,0.71965,0.000636762,0.000636762,0.000636762
58,91.1903,0.51652,0.49163,0.84681,0.8885,0.7921,0.80275,0.5605,0.59372,0.43115,0.7105,0.000622615,0.000622615,0.000622615
59,92.7093,0.50193,0.49202,0.87235,0.87283,0.78055,0.7904,0.55242,0.57405,0.42904,0.71573,0.000608468,0.000608468,0.000608468
60,94.2103,0.50095,0.47759,0.84844,0.86513,0.76295,0.78989,0.55616,0.62642,0.44109,0.72098,0.000594321,0.000594321,0.000594321
61,95.6865,0.51658,0.4951,0.86063,0.84088,0.74759,0.78135,0.56645,0.57722,0.44992,0.7119,0.000580174,0.000580174,0.000580174
62,97.2059,0.47665,0.47214,0.85684,0.87195,0.76683,0.7924,0.56288,0.58215,0.43473,0.70627,0.000566027,0.000566027,0.000566027
63,98.7504,0.49852,0.47039,0.84653,0.8484,0.74172,0.76878,0.56205,0.53881,0.40656,0.70608,0.00055188,0.00055188,0.00055188
64,100.243,0.48015,0.46941,0.84435,0.8982,0.74772,0.79537,0.54939,0.55968,0.4338,0.71438,0.000537733,0.000537733,0.000537733
65,101.74,0.47545,0.45747,0.86106,0.86945,0.75813,0.79079,0.55918,0.57381,0.45239,0.71549,0.000523586,0.000523586,0.000523586
66,103.263,0.46989,0.47435,0.86125,0.85373,0.73981,0.76576,0.5665,0.60445,0.46506,0.71155,0.000509438,0.000509438,0.000509438
67,104.759,0.4969,0.46383,0.83724,0.8821,0.76514,0.81007,0.5642,0.57399,0.43942,0.71241,0.000495291,0.000495291,0.000495291
68,106.284,0.4911,0.45626,0.83482,0.88843,0.74139,0.77362,0.56693,0.5638,0.42094,0.71094,0.000481144,0.000481144,0.000481144
69,107.778,0.48948,0.44685,0.83908,0.84422,0.75028,0.78329,0.56905,0.5607,0.43015,0.70825,0.000466997,0.000466997,0.000466997
70,109.301,0.49045,0.46853,0.84481,0.85234,0.7586,0.78556,0.56699,0.60797,0.42369,0.71335,0.00045285,0.00045285,0.00045285
71,110.786,0.49774,0.46262,0.85098,0.81309,0.74351,0.76011,0.56345,0.56032,0.4217,0.7108,0.000438703,0.000438703,0.000438703
72,112.287,0.48455,0.46553,0.83764,0.84789,0.7738,0.79656,0.56529,0.57429,0.42242,0.71186,0.000424556,0.000424556,0.000424556
73,113.774,0.48187,0.44512,0.82651,0.84694,0.78122,0.80522,0.57429,0.5555,0.42345,0.71078,0.000410409,0.000410409,0.000410409
74,115.299,0.4645,0.44149,0.84919,0.84608,0.77083,0.79627,0.58012,0.5475,0.39423,0.71051,0.000396262,0.000396262,0.000396262
75,116.794,0.43818,0.4286,0.85,0.84475,0.76935,0.7958,0.57962,0.53617,0.38015,0.71004,0.000382115,0.000382115,0.000382115
76,118.316,0.45747,0.433,0.84071,0.87338,0.77274,0.80606,0.57456,0.54079,0.38388,0.70986,0.000367967,0.000367967,0.000367967
77,119.806,0.45802,0.41638,0.84741,0.87939,0.77501,0.80537,0.58061,0.5565,0.38749,0.70853,0.00035382,0.00035382,0.00035382
78,121.321,0.4661,0.43208,0.83547,0.93256,0.74949,0.8028,0.58181,0.55555,0.39375,0.70651,0.000339673,0.000339673,0.000339673
79,122.818,0.44914,0.43181,0.84803,0.92654,0.73986,0.79731,0.57714,0.53529,0.38969,0.70554,0.000325526,0.000325526,0.000325526
80,124.342,0.44888,0.42932,0.84293,0.93323,0.74713,0.79903,0.56423,0.57778,0.40919,0.7122,0.000311379,0.000311379,0.000311379
