epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0265,1.91138,3.57309,1.4719,0.00214,0.33333,0.27747,0.15589,1.10096,3.23322,1.03244,0.00010003,0.00010003,0.00010003
2,12.5352,0.94012,2.55699,0.96004,0.00235,0.33333,0.33167,0.28311,0.93263,3.09424,0.92608,0.000212228,0.000212228,0.000212228
3,14.8583,0.90254,1.56547,0.95256,0.00277,0.33333,0.33167,0.27584,0.9251,3.00514,0.86757,0.000322162,0.000322162,0.000322162
4,16.7237,0.85274,1.30705,0.95256,0.00282,0.34457,0.33178,0.27618,0.94527,2.9144,0.86615,0.000429833,0.000429833,0.000429833
5,18.5799,0.79588,1.09832,0.9185,0.00418,0.41573,0.33272,0.30674,0.8613,2.76611,0.79296,0.000535241,0.000535241,0.000535241
6,20.4552,0.74856,0.97747,0.90308,0.00572,0.49064,0.33403,0.29565,0.92542,2.67068,0.80367,0.000638384,0.000638384,0.000638384
7,22.3004,0.75959,0.95318,0.89973,0.00723,0.5618,0.34058,0.30778,0.84889,2.60825,0.79706,0.000739265,0.000739265,0.000739265
8,24.135,0.72482,0.94528,0.89421,0.99921,0.33333,0.44048,0.34781,0.91489,2.31505,0.79911,0.000837881,0.000837881,0.000837881
9,25.9719,0.75544,0.88951,0.88945,0.99823,0.33333,0.49655,0.39087,0.83334,1.73394,0.78276,0.000934234,0.000934234,0.000934234
10,27.7867,0.74362,0.89417,0.90493,0.99515,0.33333,0.50089,0.4107,0.94719,1.9683,0.785,0.00102832,0.00102832,0.00102832
11,29.617,0.74744,0.89403,0.88363,0.99444,0.35338,0.53969,0.44315,0.8598,1.54956,0.77013,0.00112015,0.00112015,0.00112015
12,31.4777,0.71819,0.84534,0.87077,0.99437,0.43032,0.56077,0.45458,0.87505,1.43568,0.77806,0.00120971,0.00120971,0.00120971
13,33.2908,0.70014,0.78676,0.87906,0.98584,0.46437,0.58994,0.44663,0.93235,1.59452,0.81085,0.00125923,0.00125923,0.00125923
14,35.1174,0.69821,0.7985,0.88266,0.97074,0.53933,0.60631,0.46878,0.83459,1.01235,0.78652,0.00124509,0.00124509,0.00124509
15,36.9487,0.71163,0.77662,0.87691,0.82363,0.5589,0.59822,0.45365,0.81969,0.91182,0.7669,0.00123094,0.00123094,0.00123094
16,38.8014,0.68472,0.74456,0.88273,0.94062,0.58564,0.65356,0.46447,0.8397,0.82658,0.76033,0.00121679,0.00121679,0.00121679
17,40.6498,0.69439,0.74739,0.88318,0.76431,0.5731,0.64162,0.47132,0.79121,0.74603,0.76565,0.00120265,0.00120265,0.00120265
18,42.5097,0.71166,0.75106,0.87147,0.78029,0.59332,0.62312,0.48014,0.82123,0.79154,0.81601,0.0011885,0.0011885,0.0011885
19,44.3109,0.66155,0.71875,0.86748,0.85657,0.60322,0.68769,0.50086,0.74504,0.75271,0.73358,0.00117435,0.00117435,0.00117435
20,46.1357,0.62406,0.68848,0.86115,0.95966,0.62189,0.74376,0.50378,0.70647,0.66198,0.73484,0.00116021,0.00116021,0.00116021
21,47.956,0.61336,0.66669,0.86792,0.8122,0.62011,0.68302,0.47913,0.88496,0.69988,0.78206,0.00114606,0.00114606,0.00114606
22,49.7801,0.64249,0.66435,0.86934,0.91693,0.61096,0.70208,0.47603,0.72349,0.65004,0.72852,0.00113191,0.00113191,0.00113191
23,51.608,0.67039,0.68672,0.87881,0.89304,0.63596,0.71057,0.47755,0.85646,0.64646,0.75327,0.00111776,0.00111776,0.00111776
24,53.4396,0.62174,0.65191,0.87163,0.81712,0.68941,0.71461,0.49355,0.76231,0.62115,0.73554,0.00110362,0.00110362,0.00110362
25,55.2401,0.63837,0.65376,0.87088,0.77734,0.70763,0.7148,0.50632,0.68959,0.55838,0.7198,0.00108947,0.00108947,0.00108947
26,57.0683,0.5917,0.61616,0.86197,0.81872,0.69708,0.71773,0.51979,0.6661,0.57385,0.71775,0.00107532,0.00107532,0.00107532
27,58.8917,0.62727,0.63947,0.86724,0.89531,0.69941,0.75162,0.52272,0.70559,0.60029,0.72938,0.00106118,0.00106118,0.00106118
28,60.7077,0.6207,0.60893,0.85502,0.89079,0.70463,0.7477,0.53602,0.64537,0.55161,0.71901,0.00104703,0.00104703,0.00104703
29,62.5457,0.60973,0.61925,0.85921,0.86078,0.68888,0.71149,0.5049,0.71534,0.57926,0.728,0.00103288,0.00103288,0.00103288
30,64.374,0.58128,0.59029,0.85567,0.8254,0.65922,0.72107,0.50504,0.72787,0.60111,0.73192,0.00101873,0.00101873,0.00101873
31,66.1913,0.58282,0.57661,0.8565,0.84531,0.69129,0.73111,0.49636,0.73824,0.54769,0.73947,0.00100459,0.00100459,0.00100459
32,68.0052,0.58469,0.58744,0.86309,0.78043,0.67355,0.69566,0.50947,0.68075,0.55888,0.73924,0.00099044,0.00099044,0.00099044
33,69.8221,0.56352,0.55998,0.85305,0.82134,0.68895,0.71404,0.52262,0.65533,0.52914,0.71453,0.000976293,0.000976293,0.000976293
34,71.6218,0.56331,0.56536,0.86522,0.80994,0.69465,0.72824,0.52381,0.64747,0.51871,0.72618,0.000962146,0.000962146,0.000962146
35,73.4556,0.55195,0.55336,0.87009,0.85829,0.71717,0.74939,0.52158,0.62408,0.48941,0.70833,0.000947999,0.000947999,0.000947999
36,75.282,0.55408,0.53647,0.84865,0.84073,0.70995,0.74355,0.52019,0.69699,0.51917,0.71207,0.000933851,0.000933851,0.000933851
