epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.60828,2.89352,4.22519,1.93314,0.00228,0.32099,0.01599,0.00465,2.19393,3.82367,1.2116,5.716e-05,5.716e-05,5.716e-05
2,7.13814,2.09317,3.73943,1.50987,0.0021,0.33333,0.33167,0.1593,1.78563,3.3531,1.13409,0.000127337,0.000127337,0.000127337
3,8.72169,1.093,2.52873,0.99843,0.00229,0.33333,0.33167,0.21994,1.26002,3.21196,1.11247,0.000196099,0.000196099,0.000196099
4,10.1541,1.03933,1.79225,0.97223,0.00305,0.3642,0.33213,0.23393,1.21123,3.13667,0.95925,0.000263446,0.000263446,0.000263446
5,11.5617,1.0184,1.39876,0.94358,0.00454,0.41975,0.3331,0.25958,1.09996,2.96274,0.93211,0.000329379,0.000329379,0.000329379
6,12.9561,0.98871,1.2875,0.94932,0.00565,0.46296,0.334,0.28701,0.90547,2.89827,0.89773,0.000393897,0.000393897,0.000393897
7,14.3523,1.01167,1.24995,0.93712,0.00593,0.47531,0.33424,0.25123,1.15717,2.86842,0.92637,0.000457,0.000457,0.000457
8,15.7257,0.96661,1.20577,0.94704,0.00785,0.55556,0.33616,0.21521,1.14079,2.83447,0.91416,0.000518688,0.000518688,0.000518688
9,17.1567,0.91912,1.07568,0.92791,0.00879,0.60494,0.3309,0.21437,1.02934,2.77378,0.89516,0.000578962,0.000578962,0.000578962
10,18.5484,0.87411,1.03556,0.90534,0.00871,0.60494,0.34227,0.26548,1.10738,2.66575,0.92111,0.000637821,0.000637821,0.000637821
11,19.9291,0.92552,1.03594,0.91903,0.99341,0.33333,0.34353,0.25643,1.25054,2.50201,0.91586,0.000695266,0.000695266,0.000695266
12,21.2953,0.91105,1.04529,0.91466,0.99039,0.33333,0.40992,0.31025,0.98922,2.43079,0.95409,0.000751295,0.000751295,0.000751295
13,22.6366,0.89385,0.9944,0.92311,0.9982,0.33333,0.5287,0.37531,1.03929,2.35108,0.91782,0.00080591,0.00080591,0.00080591
14,24.0473,0.87548,0.97363,0.90678,0.99183,0.33333,0.59504,0.35028,1.26439,2.15624,0.91995,0.000859111,0.000859111,0.000859111
15,25.4079,0.89182,0.95603,0.92249,0.00942,0.64815,0.56782,0.43215,0.85338,2.26196,0.88711,0.000910896,0.000910896,0.000910896
16,26.7587,0.8299,0.97812,0.89961,1,0.25673,0.57208,0.43549,0.97637,2.14785,0.89942,0.000961267,0.000961267,0.000961267
17,28.1374,0.85362,0.94546,0.90428,0.98964,0.33333,0.5872,0.46109,0.93033,1.81121,0.89069,0.00101022,0.00101022,0.00101022
