epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.14539,2.98513,4.23433,1.99676,0.00227,0.32051,0.01897,0.00565,2.16197,3.81932,1.20578,4.287e-05,4.287e-05,4.287e-05
2,7.79962,2.2925,3.93073,1.67557,0.0021,0.33333,0.31201,0.10876,1.65657,3.35985,1.09457,9.90397e-05,9.90397e-05,9.90397e-05
3,9.51055,1.19112,3.02342,1.04052,0.00204,0.33333,0.29933,0.15073,1.76688,3.35759,1.06375,0.000154078,0.000154078,0.000154078
4,11.1159,1.06751,2.24934,0.99146,0.00241,0.34615,0.33186,0.22532,1.24484,3.27878,0.96571,0.000207984,0.000207984,0.000207984
5,12.6356,1.11958,1.72498,1.00913,0.00339,0.37821,0.33238,0.25818,1.0539,3.14898,0.93571,0.000260758,0.000260758,0.000260758
6,14.1835,1.06126,1.43325,0.97378,0.00395,0.39744,0.33274,0.24522,1.21742,3.06729,0.95921,0.000312401,0.000312401,0.000312401
7,15.6964,1.06725,1.37291,0.97941,0.00466,0.42308,0.33324,0.24248,1.02653,3.05996,0.95794,0.000362912,0.000362912,0.000362912
8,17.1403,1.04459,1.26504,0.93867,0.00598,0.47436,0.33426,0.28537,1.00213,2.99571,0.92295,0.000412291,0.000412291,0.000412291
9,18.7,0.99949,1.20168,0.94768,0.00683,0.51282,0.33507,0.24972,1.29212,2.89862,0.92713,0.000460538,0.000460538,0.000460538
10,20.1913,1.01949,1.18135,0.93806,0.00761,0.54487,0.33596,0.26418,1.03093,2.78499,0.93283,0.000507654,0.000507654,0.000507654
11,21.6405,0.98594,1.12972,0.93834,0.00787,0.55128,0.33635,0.26271,0.94601,2.79923,0.89507,0.000553637,0.000553637,0.000553637
12,23.1381,0.96043,1.09802,0.92679,0.00812,0.5641,0.3366,0.296,0.94587,2.86896,0.90431,0.000598489,0.000598489,0.000598489
13,24.7129,0.94851,1.05457,0.90954,0.00903,0.60256,0.33845,0.26161,1.11644,2.82201,0.89121,0.00064221,0.00064221,0.00064221
14,26.1639,0.95234,1.01687,0.90172,0.00896,0.60256,0.35871,0.26741,1.15097,2.73961,0.89676,0.000684798,0.000684798,0.000684798
15,27.6854,0.87626,1.01974,0.89249,0.80472,0.35035,0.41036,0.31999,0.96684,2.54554,0.89094,0.000726255,0.000726255,0.000726255
16,29.2954,0.87286,0.97272,0.89913,0.90364,0.33333,0.41814,0.35362,0.89768,2.51525,0.87787,0.00076658,0.00076658,0.00076658
17,30.8737,0.8327,0.94749,0.90765,0.99101,0.33333,0.42277,0.34295,0.95125,2.42086,0.88741,0.000805773,0.000805773,0.000805773
18,32.4985,0.85644,0.92353,0.90636,0.99407,0.33333,0.44865,0.35265,0.97319,2.24068,0.87661,0.000843835,0.000843835,0.000843835
19,34.0363,0.87353,0.94706,0.90494,0.99395,0.33333,0.48894,0.38907,0.90431,2.25069,0.87276,0.000880764,0.000880764,0.000880764
20,35.5531,0.84763,0.9385,0.90685,0.99221,0.33333,0.52923,0.39676,0.96946,2.264,0.87577,0.000916562,0.000916562,0.000916562
21,37.0844,0.84571,0.92002,0.91221,0.98899,0.33333,0.58621,0.37988,1.09254,1.90519,0.89385,0.000951228,0.000951228,0.000951228
22,38.5214,0.89703,0.9451,0.88783,0.98824,0.33333,0.58483,0.42035,1.02376,1.78683,0.88034,0.000984762,0.000984762,0.000984762
23,39.9687,0.8603,0.92221,0.89463,0.98778,0.33333,0.60065,0.47931,0.89012,1.69984,0.87288,0.00101717,0.00101717,0.00101717
24,41.3901,0.86641,0.90957,0.88219,0.98807,0.35558,0.5957,0.45716,0.89595,1.59491,0.87952,0.00104844,0.00104844,0.00104844
25,42.7679,0.82129,0.8779,0.91005,0.98827,0.40682,0.59968,0.47163,0.84052,1.50526,0.88231,0.00107857,0.00107857,0.00107857
26,44.2463,0.79349,0.84715,0.89701,0.98819,0.3791,0.59837,0.44476,0.94016,1.62653,0.87541,0.00107532,0.00107532,0.00107532
27,45.7693,0.83677,0.89903,0.90661,0.98927,0.37604,0.60904,0.42143,0.9804,1.72252,0.91332,0.00106118,0.00106118,0.00106118
28,47.2158,0.8673,0.89671,0.8999,0.989,0.36875,0.61299,0.47382,0.83873,1.63396,0.89995,0.00104703,0.00104703,0.00104703
