epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.52678,2.07219,3.56702,1.61634,0.00204,0.33333,0.15737,0.05118,1.67046,3.3218,1.15558,1.429e-05,1.429e-05,1.429e-05
2,8.72505,2.03193,3.43658,1.4736,0.00202,0.33333,0.15308,0.0707,1.62231,3.31113,1.11982,4.24456e-05,4.24456e-05,4.24456e-05
3,9.93366,1.76913,3.27418,1.31698,0.00213,0.33333,0.14937,0.0796,1.38868,3.24686,0.99497,7.00353e-05,7.00353e-05,7.00353e-05
4,11.3325,1.7478,3.24013,1.24489,0.00216,0.33333,0.1605,0.0935,1.02089,3.24255,0.88391,9.70591e-05,9.70591e-05,9.70591e-05
5,12.516,1.11015,3.06816,1.07931,0.00216,0.33333,0.27194,0.11175,1.32206,3.38834,0.98195,0.000123517,0.000123517,0.000123517
6,13.8885,1.07121,3.10165,1.03609,0.0022,0.33333,0.27611,0.17077,0.90189,3.26007,0.80327,0.000149409,0.000149409,0.000149409
7,15.2112,1.22893,2.82032,1.10657,0.00222,0.33333,0.33167,0.25813,1.14827,3.29397,0.93498,0.000174735,0.000174735,0.000174735
8,16.4693,0.99684,2.58701,0.94173,0.00225,0.33333,0.33167,0.25216,1.12796,3.24298,0.90773,0.000199496,0.000199496,0.000199496
9,17.7947,0.94839,2.60662,1.10602,0.00219,0.33333,0.33167,0.2985,0.89851,3.20465,0.88845,0.00022369,0.00022369,0.00022369
10,18.9884,0.99382,1.96762,0.96805,0.00221,0.33333,0.33167,0.2985,0.88048,3.20248,0.8352,0.000247318,0.000247318,0.000247318
11,20.2683,1.14389,2.04882,1.03023,0.00228,0.33333,0.33167,0.28419,0.95442,3.19042,0.84605,0.000270381,0.000270381,0.000270381
12,21.5248,1.1267,1.60657,0.96413,0.00218,0.33333,0.33167,0.28197,0.97858,3.19371,0.85509,0.000292878,0.000292878,0.000292878
13,22.6677,1.23285,1.65886,1.14252,0.00213,0.33333,0.33167,0.28197,0.97335,3.16327,0.87182,0.000314809,0.000314809,0.000314809
14,23.8921,0.86507,1.55383,0.97699,0.00214,0.33333,0.33167,0.28946,0.93439,3.13402,0.93366,0.000336174,0.000336174,0.000336174
15,25.1143,0.93013,1.3412,0.91719,0.00295,0.37037,0.33209,0.29888,0.88127,3.08569,0.86497,0.000356973,0.000356973,0.000356973
16,26.3327,0.86422,1.32943,0.90406,0.00373,0.40741,0.3326,0.31419,0.99084,3.08967,0.84791,0.000377206,0.000377206,0.000377206
17,27.4525,0.85168,1.24582,0.92664,0.00449,0.44444,0.33315,0.31027,1.04606,3.05369,0.83655,0.000396873,0.000396873,0.000396873
18,29.1315,1.11359,1.52921,1.13596,0.00445,0.44444,0.33309,0.30096,1.01529,3.07666,0.83525,0.000415975,0.000415975,0.000415975
19,30.3961,0.88971,1.20532,0.91483,0.00446,0.44444,0.33304,0.27728,1.08539,3.01774,0.85986,0.00043451,0.00043451,0.00043451
20,32.1157,0.73577,1.12605,0.92608,0.00588,0.51852,0.3344,0.29442,1.07826,2.96096,0.86493,0.00045248,0.00045248,0.00045248
21,33.4583,0.6574,1.09912,0.92349,0.00656,0.55556,0.33513,0.32007,1.02948,2.90185,0.83818,0.000469884,0.000469884,0.000469884
22,35.1335,0.86914,1.08818,0.86736,0.0045,0.44444,0.33309,0.32736,1.0398,2.84478,0.80722,0.000486722,0.000486722,0.000486722
23,36.4513,0.9131,1.09193,0.92133,0.00507,0.36705,0.3331,0.31462,1.03972,2.85158,0.80502,0.000502994,0.000502994,0.000502994
24,37.6438,0.80277,1.47597,0.90043,0.00499,0.35263,0.33369,0.31464,1.02564,2.86336,0.80136,0.0005187,0.0005187,0.0005187
25,38.7951,0.77008,1.06823,0.94174,0.00485,0.35312,0.33367,0.28666,1.08903,2.86498,0.81551,0.00053384,0.00053384,0.00053384
26,40.0232,0.672,1.02908,0.90335,0.96033,0.33333,0.33363,0.29706,1.01282,2.82771,0.81599,0.000548414,0.000548414,0.000548414
27,41.2759,0.67568,0.86122,0.89959,0.00588,0.51852,0.33429,0.28702,0.9715,2.82151,0.83314,0.000562423,0.000562423,0.000562423
28,42.3567,0.87597,1.0296,0.91378,0.00588,0.51852,0.33429,0.28702,0.9715,2.82151,0.83314,0.000575866,0.000575866,0.000575866
29,43.6512,0.81303,0.9893,0.8861,0.00651,0.55556,0.37283,0.29778,1.10813,2.78757,0.88919,0.000588742,0.000588742,0.000588742
30,44.7725,0.66039,0.96549,0.9376,0.96806,0.33333,0.33723,0.30183,1.01191,2.59646,0.85787,0.000601053,0.000601053,0.000601053
31,45.9852,0.86268,0.90605,0.87883,0.96806,0.33333,0.33723,0.30183,1.01191,2.59646,0.85787,0.000612798,0.000612798,0.000612798
32,47.233,0.91517,1.0547,0.89982,0.9715,0.33333,0.34052,0.29747,1.10646,2.48923,0.8452,0.000623977,0.000623977,0.000623977
33,48.4798,0.85563,0.98361,0.86184,0.97946,0.33333,0.4136,0.35405,1.23735,2.43058,0.9246,0.00063459,0.00063459,0.00063459
34,49.7305,1.01324,1.12512,0.91174,0.97946,0.33333,0.4136,0.35405,1.23735,2.43058,0.9246,0.000644638,0.000644638,0.000644638
35,51.0862,0.86027,1.0649,0.9502,0.97602,0.33333,0.4471,0.38126,1.15205,2.33657,0.89977,0.000654119,0.000654119,0.000654119
