epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.74708,2.39158,4.00462,1.68499,0.0021,0.33333,0.33167,0.18854,1.64947,3.39792,1.1168,0.00011432,0.00011432,0.00011432
2,8.84935,1.10343,2.50765,0.99997,0.00232,0.33333,0.33167,0.22667,1.00995,3.30372,0.96867,0.000240525,0.000240525,0.000240525
3,10.8387,1.08887,1.46519,0.97504,0.00378,0.39111,0.33253,0.23894,1.21849,3.04213,0.99298,0.000364184,0.000364184,0.000364184
4,12.7889,0.97838,1.27575,0.94996,0.00556,0.45778,0.33396,0.27176,0.94744,2.96815,0.89278,0.000485296,0.000485296,0.000485296
5,14.7896,0.89326,1.11875,0.91714,0.00699,0.52,0.3352,0.24485,0.98176,2.92226,0.86447,0.000603861,0.000603861,0.000603861
6,16.7122,0.89116,1.08214,0.91587,0.00937,0.60889,0.33846,0.26881,0.94064,2.71059,0.87112,0.00071988,0.00071988,0.00071988
7,18.6347,0.89073,1.00826,0.88963,0.99457,0.33333,0.36934,0.30054,0.94039,2.6548,0.87564,0.000833353,0.000833353,0.000833353
8,20.5491,1.00332,1.02088,0.93034,0.22515,0.53778,0.54054,0.34251,1.30767,2.47064,0.90053,0.000944279,0.000944279,0.000944279
9,22.4445,0.9333,0.99678,0.91104,0.99762,0.33333,0.59504,0.46776,0.86324,1.94477,0.93377,0.00105266,0.00105266,0.00105266
10,24.3327,0.91786,0.96443,0.91943,0.99266,0.33333,0.62411,0.48562,0.88726,1.75185,0.8881,0.00115849,0.00115849,0.00115849
11,26.2261,0.86955,0.92344,0.91088,0.9922,0.35346,0.61371,0.45251,0.91551,1.44623,0.91991,0.00126178,0.00126178,0.00126178
12,28.1648,0.87599,0.92073,0.89844,0.98776,0.54432,0.67234,0.49109,0.81339,1.46079,0.8786,0.00127338,0.00127338,0.00127338
13,30.0564,0.81819,0.87213,0.89967,0.84305,0.58288,0.72704,0.49302,1.04968,1.08086,0.88764,0.00125923,0.00125923,0.00125923
14,31.9378,0.89072,0.88165,0.9149,0.64599,0.65333,0.72587,0.5006,0.96021,1.02267,0.90585,0.00124509,0.00124509,0.00124509
15,33.8483,0.81142,0.83394,0.88621,0.58903,0.65034,0.71237,0.51122,0.83214,0.95835,0.85812,0.00123094,0.00123094,0.00123094
16,35.7485,0.80114,0.79011,0.8893,0.94819,0.53451,0.72285,0.54065,0.85538,0.84566,0.86007,0.00121679,0.00121679,0.00121679
17,37.6202,0.72244,0.75645,0.88091,0.95716,0.57091,0.72532,0.54045,0.80775,0.78329,0.84939,0.00120265,0.00120265,0.00120265
18,39.5262,0.7528,0.77775,0.87985,0.82265,0.68995,0.76673,0.55289,0.74122,0.60882,0.86485,0.0011885,0.0011885,0.0011885
19,41.4333,0.74307,0.76362,0.88461,0.85919,0.74157,0.80318,0.53898,0.75519,0.68881,0.8663,0.00117435,0.00117435,0.00117435
20,43.402,0.75046,0.71487,0.87728,0.90628,0.75881,0.82034,0.57009,0.75224,0.60184,0.85875,0.00116021,0.00116021,0.00116021
21,45.3552,0.75928,0.75117,0.87131,0.92879,0.78121,0.82099,0.56287,0.71489,0.5958,0.85022,0.00114606,0.00114606,0.00114606
22,47.2659,0.77937,0.73212,0.8774,0.94344,0.75621,0.81399,0.56784,0.78594,0.59215,0.85474,0.00113191,0.00113191,0.00113191
23,49.1572,0.73318,0.69955,0.86248,0.89587,0.7317,0.78699,0.51186,0.84556,0.7321,0.84319,0.00111776,0.00111776,0.00111776
24,51.0787,0.71116,0.69133,0.87299,0.91696,0.75229,0.82001,0.55785,0.83652,0.61039,0.84545,0.00110362,0.00110362,0.00110362
25,52.9474,0.67286,0.65955,0.85603,0.95906,0.76654,0.83491,0.53559,0.96372,0.61433,0.85893,0.00108947,0.00108947,0.00108947
26,54.9347,0.70116,0.69549,0.86796,0.94942,0.78614,0.8401,0.58517,0.63254,0.50518,0.83001,0.00107532,0.00107532,0.00107532
27,56.8284,0.69948,0.66248,0.86345,0.92595,0.7999,0.83967,0.58145,0.64232,0.57807,0.83112,0.00106118,0.00106118,0.00106118
28,58.7225,0.66512,0.64391,0.86164,0.95597,0.80195,0.85548,0.57272,0.79312,0.55543,0.8309,0.00104703,0.00104703,0.00104703
29,60.6238,0.66688,0.6379,0.85561,0.94876,0.78924,0.84203,0.58697,0.72739,0.51752,0.82783,0.00103288,0.00103288,0.00103288
30,62.5315,0.66127,0.62833,0.86071,0.94988,0.79059,0.83681,0.60991,0.61769,0.46524,0.82862,0.00101873,0.00101873,0.00101873
31,64.4318,0.64647,0.62017,0.85175,0.94796,0.78203,0.83909,0.59886,0.71369,0.55722,0.82974,0.00100459,0.00100459,0.00100459
32,66.4147,0.64399,0.59004,0.85651,0.8931,0.7408,0.77982,0.55674,0.6425,0.52669,0.82607,0.00099044,0.00099044,0.00099044
33,68.2884,0.62754,0.58755,0.85266,0.8975,0.79269,0.82663,0.61076,0.64037,0.54032,0.82495,0.000976293,0.000976293,0.000976293
34,70.3257,0.69085,0.6004,0.85065,0.97804,0.7719,0.85486,0.58812,0.64546,0.51832,0.83284,0.000962146,0.000962146,0.000962146
35,72.3249,0.64887,0.5724,0.86719,0.95829,0.79093,0.88289,0.58594,0.81292,0.57758,0.83639,0.000947999,0.000947999,0.000947999
36,74.3429,0.64965,0.58989,0.869,0.92071,0.83726,0.89433,0.61451,0.6243,0.50577,0.8284,0.000933851,0.000933851,0.000933851
37,76.441,0.60907,0.56166,0.84403,0.92234,0.85309,0.88164,0.59685,0.62046,0.46986,0.82737,0.000919704,0.000919704,0.000919704
38,78.4487,0.63153,0.58308,0.87184,0.9033,0.8311,0.86669,0.62142,0.61935,0.41207,0.82571,0.000905557,0.000905557,0.000905557
39,80.3923,0.6035,0.55935,0.85985,0.89529,0.82536,0.87622,0.59919,0.65314,0.42323,0.82824,0.00089141,0.00089141,0.00089141
40,82.3639,0.60103,0.53639,0.85556,0.94686,0.82,0.88919,0.63723,0.5461,0.4121,0.82051,0.000877263,0.000877263,0.000877263
41,84.3218,0.64662,0.56486,0.85727,0.88503,0.84966,0.8802,0.58647,0.69834,0.45543,0.83651,0.000863116,0.000863116,0.000863116
42,86.2348,0.63121,0.55077,0.84129,0.85514,0.8298,0.859,0.59157,0.67629,0.46759,0.83347,0.000848969,0.000848969,0.000848969
43,88.1662,0.64588,0.54345,0.85666,0.856,0.83803,0.86377,0.60778,0.67328,0.47711,0.82797,0.000834822,0.000834822,0.000834822
44,90.1028,0.60006,0.52491,0.86044,0.90457,0.83104,0.88748,0.6294,0.55193,0.40455,0.81989,0.000820675,0.000820675,0.000820675
45,92.0492,0.65618,0.55933,0.85877,0.91125,0.85265,0.88714,0.62016,0.6162,0.45894,0.8203,0.000806528,0.000806528,0.000806528
46,93.9385,0.61994,0.52457,0.85004,0.91998,0.83478,0.88282,0.59995,0.64155,0.48013,0.82664,0.00079238,0.00079238,0.00079238
47,95.8754,0.63952,0.54233,0.85462,0.99157,0.76905,0.88404,0.6154,0.57625,0.44581,0.8199,0.000778233,0.000778233,0.000778233
48,97.8598,0.58964,0.51641,0.85101,0.94207,0.8298,0.88161,0.62901,0.59546,0.44188,0.82595,0.000764086,0.000764086,0.000764086
49,99.7811,0.54781,0.50992,0.84872,0.95066,0.80507,0.87906,0.60266,0.62046,0.41594,0.82788,0.000749939,0.000749939,0.000749939
50,101.7,0.58256,0.51989,0.84337,0.95687,0.77634,0.87186,0.6014,0.65436,0.41004,0.83295,0.000735792,0.000735792,0.000735792
51,103.663,0.62535,0.51172,0.8439,0.90453,0.82,0.8622,0.6006,0.68916,0.44783,0.83025,0.000721645,0.000721645,0.000721645
52,105.898,0.58885,0.50665,0.84529,0.96988,0.79591,0.88908,0.611,0.61671,0.40554,0.82682,0.000707498,0.000707498,0.000707498
53,108.265,0.62112,0.5279,0.85842,0.96815,0.79059,0.8907,0.63093,0.58796,0.39795,0.82632,0.000693351,0.000693351,0.000693351
54,110.694,0.61361,0.51306,0.83924,0.90292,0.81744,0.86971,0.6264,0.53315,0.39098,0.82622,0.000679204,0.000679204,0.000679204
55,113.202,0.56395,0.49178,0.8374,0.94983,0.8298,0.89103,0.64179,0.53774,0.38774,0.82185,0.000665057,0.000665057,0.000665057
56,115.585,0.56017,0.47358,0.84324,0.96243,0.82,0.88848,0.64604,0.547,0.38468,0.82286,0.000650909,0.000650909,0.000650909
57,117.971,0.59478,0.49442,0.85022,0.9855,0.82656,0.88728,0.63579,0.56342,0.36596,0.82111,0.000636762,0.000636762,0.000636762
58,120.324,0.56531,0.46807,0.85223,0.97059,0.83144,0.89455,0.65116,0.53223,0.36913,0.82294,0.000622615,0.000622615,0.000622615
59,122.702,0.57604,0.47745,0.84197,0.92117,0.81284,0.85915,0.63408,0.52658,0.37022,0.82019,0.000608468,0.000608468,0.000608468
60,125.179,0.58122,0.48538,0.84962,0.89076,0.84763,0.87402,0.63283,0.47284,0.367,0.81669,0.000594321,0.000594321,0.000594321
61,127.591,0.57688,0.4659,0.85552,0.89718,0.85344,0.89084,0.63195,0.55678,0.38648,0.8216,0.000580174,0.000580174,0.000580174
62,129.961,0.54648,0.4666,0.83335,0.88995,0.84237,0.87291,0.64122,0.50274,0.38357,0.81965,0.000566027,0.000566027,0.000566027
63,132.264,0.54508,0.46353,0.82945,0.91154,0.83292,0.87328,0.63878,0.49436,0.36813,0.81557,0.00055188,0.00055188,0.00055188
64,134.723,0.55031,0.45209,0.82609,0.92579,0.83424,0.89994,0.64104,0.50078,0.36364,0.81829,0.000537733,0.000537733,0.000537733
65,137.131,0.53088,0.44629,0.8396,0.91875,0.84579,0.89391,0.63978,0.4831,0.34368,0.81585,0.000523586,0.000523586,0.000523586
66,139.584,0.52128,0.43645,0.84238,0.90513,0.84265,0.88665,0.65323,0.48129,0.35338,0.81358,0.000509438,0.000509438,0.000509438
67,142.038,0.53774,0.44093,0.84373,0.90977,0.84392,0.89774,0.6405,0.56261,0.3825,0.81704,0.000495291,0.000495291,0.000495291
68,144.497,0.50047,0.439,0.83965,0.93098,0.85386,0.90511,0.65327,0.46904,0.3452,0.81889,0.000481144,0.000481144,0.000481144
69,146.924,0.55082,0.44515,0.84378,0.925,0.86175,0.90588,0.66459,0.47227,0.35358,0.81898,0.000466997,0.000466997,0.000466997
70,149.345,0.54017,0.44646,0.84167,0.92066,0.85253,0.90511,0.66119,0.47138,0.34671,0.81706,0.00045285,0.00045285,0.00045285
71,151.848,0.50622,0.43472,0.8361,0.92264,0.84773,0.90432,0.64786,0.52088,0.36326,0.81503,0.000438703,0.000438703,0.000438703
72,154.295,0.50906,0.43229,0.83348,0.93066,0.83425,0.90737,0.66576,0.4948,0.36926,0.81318,0.000424556,0.000424556,0.000424556
73,156.796,0.51907,0.43705,0.84117,0.91837,0.85486,0.90482,0.66501,0.49829,0.35512,0.81725,0.000410409,0.000410409,0.000410409
74,159.175,0.50203,0.42623,0.83513,0.91439,0.8624,0.90094,0.66548,0.53314,0.37703,0.81927,0.000396262,0.000396262,0.000396262
75,161.717,0.51123,0.42562,0.84486,0.92162,0.85952,0.90124,0.66661,0.51799,0.3638,0.82231,0.000382115,0.000382115,0.000382115
76,164.244,0.50192,0.41633,0.84168,0.93508,0.8526,0.89771,0.67028,0.47666,0.33133,0.81586,0.000367967,0.000367967,0.000367967
77,166.726,0.49633,0.41756,0.8308,0.92422,0.84693,0.90452,0.67063,0.48139,0.34533,0.81434,0.00035382,0.00035382,0.00035382
78,169.248,0.50765,0.42038,0.8389,0.91924,0.84941,0.9103,0.67439,0.46004,0.31476,0.81408,0.000339673,0.000339673,0.000339673
79,171.886,0.47957,0.39754,0.8243,0.91586,0.85489,0.90513,0.67321,0.46132,0.32265,0.81242,0.000325526,0.000325526,0.000325526
80,174.581,0.4725,0.39735,0.84168,0.92116,0.85106,0.90725,0.68727,0.44573,0.32384,0.81144,0.000311379,0.000311379,0.000311379
81,177.257,0.49307,0.42018,0.84113,0.91398,0.8548,0.91071,0.67712,0.47613,0.32175,0.81176,0.000297232,0.000297232,0.000297232
82,179.775,0.49068,0.40284,0.83341,0.90014,0.8584,0.9073,0.67422,0.45495,0.30963,0.81178,0.000283085,0.000283085,0.000283085
83,182.457,0.47276,0.39762,0.83114,0.86517,0.86034,0.89536,0.68494,0.44926,0.3129,0.81232,0.000268938,0.000268938,0.000268938
84,185.086,0.49556,0.40237,0.84576,0.87529,0.85922,0.90874,0.67858,0.46554,0.31392,0.81214,0.000254791,0.000254791,0.000254791
85,187.703,0.47726,0.38954,0.833,0.91312,0.83762,0.90815,0.6695,0.49882,0.30898,0.81297,0.000240644,0.000240644,0.000240644
86,190.209,0.47612,0.39541,0.84127,0.88149,0.86634,0.91366,0.68531,0.43247,0.30426,0.81226,0.000226497,0.000226497,0.000226497
87,192.698,0.45841,0.39048,0.83044,0.88594,0.86869,0.91222,0.68255,0.46255,0.29314,0.8143,0.000212349,0.000212349,0.000212349
88,195.28,0.45615,0.38094,0.83587,0.90944,0.84895,0.91159,0.68463,0.42353,0.2748,0.81267,0.000198202,0.000198202,0.000198202
89,197.846,0.44908,0.37483,0.82961,0.9144,0.84574,0.91161,0.68436,0.42684,0.27256,0.81355,0.000184055,0.000184055,0.000184055
90,200.374,0.43056,0.37905,0.83253,0.91615,0.84215,0.90074,0.68027,0.44719,0.28286,0.81256,0.000169908,0.000169908,0.000169908
91,231.761,0.54871,0.55206,0.83004,0.90682,0.84457,0.91138,0.67536,0.47305,0.28822,0.81268,0.000155761,0.000155761,0.000155761
92,234.746,0.54904,0.47915,0.82622,0.92458,0.83961,0.90168,0.67719,0.43157,0.29533,0.81118,0.000141614,0.000141614,0.000141614
93,237.377,0.54239,0.48738,0.82645,0.93367,0.84512,0.91349,0.68127,0.44464,0.30532,0.81106,0.000127467,0.000127467,0.000127467
94,239.904,0.49753,0.46217,0.81927,0.92954,0.84389,0.91261,0.67962,0.43207,0.29664,0.8135,0.00011332,0.00011332,0.00011332
95,242.386,0.51018,0.47021,0.82032,0.93234,0.84298,0.90979,0.6808,0.43364,0.30077,0.81322,9.91726e-05,9.91726e-05,9.91726e-05
96,245.005,0.48673,0.44215,0.80566,0.93178,0.84517,0.90879,0.68045,0.43861,0.30365,0.81133,8.50255e-05,8.50255e-05,8.50255e-05
97,247.433,0.53589,0.47448,0.80812,0.93126,0.84593,0.90935,0.68439,0.43131,0.29143,0.81134,7.08784e-05,7.08784e-05,7.08784e-05
98,249.933,0.48791,0.44511,0.78922,0.93395,0.84746,0.91135,0.68112,0.43529,0.29356,0.81084,5.67313e-05,5.67313e-05,5.67313e-05
99,252.327,0.49903,0.45567,0.82936,0.93362,0.8481,0.90881,0.68013,0.42466,0.29126,0.81061,4.25842e-05,4.25842e-05,4.25842e-05
100,254.866,0.47305,0.44571,0.79524,0.93173,0.84991,0.90845,0.68038,0.41136,0.28913,0.80957,2.84371e-05,2.84371e-05,2.84371e-05
