epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.72851,1.90706,3.5475,1.4498,0.00202,0.33333,0.1142,0.05275,1.39571,3.38595,1.12928,2.858e-05,2.858e-05,2.858e-05
2,7.82351,1.8997,3.5686,1.43947,0.00205,0.33333,0.13007,0.07748,1.04798,3.29131,0.98593,7.07426e-05,7.07426e-05,7.07426e-05
3,8.80651,1.11055,3.19807,1.04488,0.0021,0.33333,0.26262,0.18075,1.08208,3.28778,1.00101,0.000112056,0.000112056,0.000112056
4,9.77696,0.96206,2.74382,0.97194,0.00249,0.34524,0.33178,0.27624,0.78277,3.15167,0.86609,0.000152521,0.000152521,0.000152521
5,10.7486,0.8984,2.35455,0.97317,0.003,0.36905,0.33202,0.23808,0.87761,3.14378,0.90094,0.000192138,0.000192138,0.000192138
6,11.6869,0.82321,1.82614,0.92553,0.00296,0.36905,0.33203,0.2368,0.75788,3.10421,0.83296,0.000230905,0.000230905,0.000230905
7,12.6346,0.95627,1.6724,0.93981,0.00297,0.36905,0.33203,0.28816,0.89668,3.09387,0.83314,0.000268823,0.000268823,0.000268823
8,13.5596,0.85232,1.34869,0.93914,0.00296,0.36905,0.33203,0.27935,0.98755,3.11624,0.90562,0.000305893,0.000305893,0.000305893
9,14.4966,0.89276,1.30227,0.92638,0.00337,0.39286,0.33231,0.28525,0.87375,3.07211,0.87161,0.000342114,0.000342114,0.000342114
10,15.433,0.81904,1.25484,0.93528,0.00364,0.40476,0.33247,0.30369,0.85709,3.06492,0.84592,0.000377486,0.000377486,0.000377486
11,16.3821,0.78473,1.16885,0.90512,0.00369,0.40476,0.33243,0.26178,1.0162,3.05049,0.92924,0.000412009,0.000412009,0.000412009
12,17.3082,0.77889,1.02059,0.92391,0.00393,0.41667,0.33258,0.27108,0.96589,3.01497,0.89788,0.000445684,0.000445684,0.000445684
13,18.2578,0.82847,1.06732,0.90424,0.00467,0.45238,0.33305,0.27607,0.85649,2.7966,0.82791,0.000478509,0.000478509,0.000478509
14,19.1909,0.74821,1.01202,0.90365,0.00465,0.45238,0.33305,0.28536,0.88433,2.80849,0.84969,0.000510486,0.000510486,0.000510486
15,20.1902,0.73716,0.98807,0.89528,0.00481,0.45238,0.33314,0.29798,0.92384,2.8018,0.88866,0.000541614,0.000541614,0.000541614
16,21.1137,0.75051,0.97144,0.90542,0.00481,0.45238,0.33311,0.2777,0.98159,2.78462,0.89935,0.000571893,0.000571893,0.000571893
17,22.0597,0.80609,1.01121,0.94883,0.00591,0.5119,0.33409,0.30445,0.76654,2.81718,0.80247,0.000601323,0.000601323,0.000601323
18,22.9737,0.75982,0.94225,0.9086,0.98484,0.33333,0.33535,0.30978,0.7852,2.7506,0.79831,0.000629905,0.000629905,0.000629905
19,23.8854,0.75087,0.93892,0.87835,0.98993,0.33333,0.33578,0.30807,0.7923,2.66131,0.79967,0.000657637,0.000657637,0.000657637
20,24.7974,0.74346,0.94534,0.90723,0.98951,0.33333,0.33793,0.30494,0.82674,2.6381,0.8284,0.000684521,0.000684521,0.000684521
21,25.7124,0.65374,0.88461,0.88086,0.98763,0.33333,0.33667,0.30054,0.90284,2.65313,0.86007,0.000710556,0.000710556,0.000710556
22,26.6493,0.71494,0.92066,0.89544,0.98979,0.33333,0.3375,0.29999,0.9112,2.53122,0.89015,0.000735742,0.000735742,0.000735742
23,27.5615,0.72323,0.89014,0.88105,0.98774,0.33333,0.42423,0.36058,0.87965,2.47249,0.84788,0.000760079,0.000760079,0.000760079
24,28.4954,0.71891,0.8741,0.89811,0.99367,0.33333,0.58031,0.45751,0.82066,2.35213,0.80711,0.000783568,0.000783568,0.000783568
25,29.4044,0.70303,0.86285,0.88898,0.98972,0.33333,0.61199,0.49039,0.80416,2.1203,0.81201,0.000806208,0.000806208,0.000806208
26,30.3301,0.66387,0.85442,0.88314,0.986,0.33333,0.61286,0.50846,0.81156,1.87634,0.81624,0.000827998,0.000827998,0.000827998
27,31.2542,0.69342,0.8071,0.88513,0.98556,0.33333,0.61646,0.50377,0.7539,1.70542,0.81684,0.00084894,0.00084894,0.00084894
28,32.1652,0.74617,0.82912,0.86781,0.98552,0.33333,0.60972,0.49017,0.7448,1.65558,0.80166,0.000869033,0.000869033,0.000869033
29,33.0723,0.67167,0.81291,0.89242,0.98552,0.33333,0.60972,0.49017,0.7448,1.65558,0.80166,0.000888278,0.000888278,0.000888278
30,33.9843,0.6655,0.79204,0.86248,0.98565,0.35321,0.63483,0.47151,0.84846,1.64725,0.80792,0.000906673,0.000906673,0.000906673
31,34.9103,0.61828,0.75658,0.87234,0.98552,0.38537,0.61988,0.48651,0.88782,1.58637,0.83134,0.00092422,0.00092422,0.00092422
32,35.8264,0.62769,0.78285,0.86499,0.98517,0.39703,0.64173,0.49809,0.8325,1.44674,0.79866,0.000940918,0.000940918,0.000940918
33,36.7243,0.59815,0.71363,0.83888,0.98517,0.39703,0.64173,0.49809,0.8325,1.44674,0.79866,0.000956767,0.000956767,0.000956767
34,37.6433,0.67508,0.7841,0.87231,0.98489,0.43186,0.66069,0.51408,0.82559,1.29414,0.82622,0.000962146,0.000962146,0.000962146
35,38.6023,0.65565,0.7438,0.87397,0.98472,0.52228,0.67691,0.52601,0.75334,1.15181,0.8206,0.000947999,0.000947999,0.000947999
36,39.5308,0.61843,0.76179,0.85815,0.98488,0.58193,0.69921,0.55923,0.70291,1.07024,0.77382,0.000933851,0.000933851,0.000933851
37,40.4295,0.62628,0.77391,0.89762,0.98488,0.58193,0.69921,0.55923,0.70291,1.07024,0.77382,0.000919704,0.000919704,0.000919704
38,41.343,0.65093,0.74371,0.86875,0.98492,0.58252,0.74151,0.56452,0.69112,1.12519,0.76921,0.000905557,0.000905557,0.000905557
39,42.26,0.58891,0.72818,0.88031,0.97832,0.63095,0.77096,0.56206,0.71677,1.08409,0.76564,0.00089141,0.00089141,0.00089141
40,43.207,0.62237,0.75515,0.86149,0.96559,0.65329,0.79607,0.59062,0.68417,0.96312,0.75762,0.000877263,0.000877263,0.000877263
41,44.113,0.61447,0.73378,0.85491,0.96559,0.65329,0.79607,0.59062,0.68417,0.96312,0.75762,0.000863116,0.000863116,0.000863116
42,45.029,0.61346,0.72659,0.87929,0.94758,0.66692,0.7996,0.58579,0.69039,0.81628,0.7641,0.000848969,0.000848969,0.000848969
43,45.9423,0.58874,0.69357,0.83395,0.9407,0.66803,0.81129,0.59211,0.62151,0.74841,0.74991,0.000834822,0.000834822,0.000834822
44,46.8523,0.57721,0.67624,0.86249,0.939,0.66392,0.81992,0.57426,0.69346,0.76562,0.76493,0.000820675,0.000820675,0.000820675
45,47.7503,0.65383,0.7079,0.90259,0.939,0.66392,0.81992,0.57426,0.69346,0.76562,0.76493,0.000806528,0.000806528,0.000806528
46,48.6673,0.58619,0.67171,0.86812,0.92882,0.67673,0.78099,0.56254,0.76042,0.80371,0.77971,0.00079238,0.00079238,0.00079238
47,49.5811,0.58408,0.64851,0.84099,0.90066,0.71429,0.80775,0.57358,0.78735,0.81828,0.78184,0.000778233,0.000778233,0.000778233
48,50.503,0.57195,0.65924,0.85258,0.8913,0.72814,0.83289,0.58157,0.77451,0.79384,0.78731,0.000764086,0.000764086,0.000764086
49,51.403,0.60096,0.66138,0.86546,0.8913,0.72814,0.83289,0.58157,0.77451,0.79384,0.78731,0.000749939,0.000749939,0.000749939
50,52.3212,0.55822,0.66564,0.86617,0.90445,0.74091,0.82964,0.59566,0.68062,0.74078,0.75633,0.000735792,0.000735792,0.000735792
51,53.2352,0.60521,0.65777,0.86205,0.87067,0.7322,0.79009,0.59596,0.63202,0.67624,0.73833,0.000721645,0.000721645,0.000721645
52,54.1712,0.54486,0.68718,0.84736,0.87068,0.72809,0.76687,0.5771,0.74221,0.68099,0.75894,0.000707498,0.000707498,0.000707498
53,55.0778,0.59791,0.6559,0.85522,0.87068,0.72809,0.76687,0.5771,0.74221,0.68099,0.75894,0.000693351,0.000693351,0.000693351
54,55.9984,0.59187,0.64242,0.8714,0.85876,0.73095,0.76491,0.56973,0.69582,0.68779,0.74841,0.000679204,0.000679204,0.000679204
55,56.9013,0.5343,0.60585,0.83898,0.86755,0.73095,0.75894,0.59641,0.58437,0.64699,0.73024,0.000665057,0.000665057,0.000665057
56,57.8113,0.584,0.66369,0.86396,0.8438,0.73095,0.76201,0.60626,0.59547,0.60437,0.73425,0.000650909,0.000650909,0.000650909
57,58.722,0.56759,0.62799,0.83818,0.8438,0.73095,0.76201,0.60626,0.59547,0.60437,0.73425,0.000636762,0.000636762,0.000636762
58,59.649,0.5266,0.60537,0.8548,0.85939,0.73095,0.78041,0.60585,0.59964,0.58696,0.7252,0.000622615,0.000622615,0.000622615
59,60.5703,0.55282,0.6204,0.85009,0.85193,0.76429,0.80314,0.62013,0.59683,0.54642,0.73245,0.000608468,0.000608468,0.000608468
60,61.4833,0.56492,0.58942,0.83266,0.86882,0.77391,0.81214,0.62747,0.58875,0.53392,0.74866,0.000594321,0.000594321,0.000594321
61,62.3757,0.53263,0.58942,0.84353,0.86882,0.77391,0.81214,0.62747,0.58875,0.53392,0.74866,0.000580174,0.000580174,0.000580174
62,63.2958,0.54959,0.63224,0.87989,0.86513,0.77743,0.80711,0.62527,0.57494,0.54244,0.74955,0.000566027,0.000566027,0.000566027
63,64.2049,0.51422,0.60466,0.85257,0.85766,0.79762,0.80504,0.6138,0.57906,0.5481,0.74856,0.00055188,0.00055188,0.00055188
64,65.1209,0.51904,0.57161,0.84384,0.8574,0.79762,0.80658,0.60985,0.57515,0.53124,0.74282,0.000537733,0.000537733,0.000537733
65,66.0178,0.51812,0.58738,0.85535,0.8574,0.79762,0.80658,0.60985,0.57515,0.53124,0.74282,0.000523586,0.000523586,0.000523586
66,66.9519,0.52365,0.59782,0.83928,0.86755,0.79643,0.80739,0.60893,0.57848,0.51824,0.73265,0.000509438,0.000509438,0.000509438
67,67.864,0.53744,0.56937,0.85553,0.84176,0.79847,0.80634,0.60862,0.58246,0.50684,0.73147,0.000495291,0.000495291,0.000495291
68,68.7807,0.47693,0.55148,0.84183,0.82438,0.76429,0.7813,0.61446,0.55655,0.4955,0.73224,0.000481144,0.000481144,0.000481144
69,69.6867,0.52058,0.56858,0.87923,0.82438,0.76429,0.7813,0.61446,0.55655,0.4955,0.73224,0.000466997,0.000466997,0.000466997
70,70.6141,0.46955,0.56015,0.83303,0.87379,0.75707,0.78029,0.61084,0.5303,0.49061,0.7293,0.00045285,0.00045285,0.00045285
71,71.5271,0.45917,0.54533,0.83344,0.93461,0.75947,0.81046,0.61385,0.5619,0.50681,0.73983,0.000438703,0.000438703,0.000438703
72,72.4331,0.50566,0.59052,0.85893,0.93913,0.75943,0.81102,0.60974,0.58836,0.5268,0.74839,0.000424556,0.000424556,0.000424556
73,73.3341,0.48553,0.55783,0.83233,0.93913,0.75943,0.81102,0.60974,0.58836,0.5268,0.74839,0.000410409,0.000410409,0.000410409
74,74.2534,0.49716,0.54215,0.85142,0.94107,0.75916,0.81265,0.60753,0.59705,0.5299,0.75539,0.000396262,0.000396262,0.000396262
75,75.1924,0.51657,0.56383,0.85248,0.9327,0.76086,0.81506,0.6169,0.6024,0.5367,0.75456,0.000382115,0.000382115,0.000382115
76,76.1082,0.4794,0.56639,0.82875,0.87924,0.77504,0.81857,0.61588,0.60001,0.53462,0.74886,0.000367967,0.000367967,0.000367967
77,77.0013,0.48438,0.54261,0.84208,0.87924,0.77504,0.81857,0.61588,0.60001,0.53462,0.74886,0.00035382,0.00035382,0.00035382
